ID,Score,score2,Score_3
1,1,1,1
2,1,1,0.8
3,1,1,1
4,1,1,1
5,1,1,0.8
6,1,1,1
7,1,1,1
8,1,1,0.8
9,1,1,0.8
10,1,1,1
11,1,1,0.8
12,1,1,1
13,1,1,1
14,1,1,0.8
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,0.8
19,1,1,1
20,1,1,0.8
21,1,1,1
22,1,1,0.8
23,1,1,1
24,1,1,0.8
25,1,1,1
26,1,1,0.8
27,1,1,0.8
28,1,1,0.8
29,1,1,1
30,1,1,1
31,1,1,1
32,1,1,1
33,1,1,1
34,1,1,0.8
35,1,1,1
36,1,1,1
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,1,1,0.8
43,1,1,0.6
44,1,1,1
45,1,1,0.8
46,1,1,1
47,1,1,1
48,1,1,0.8
49,1,1,1
50,1,1,0.8
51,1,1,1
52,1,1,1
53,1,1,0.8
54,1,1,1
55,1,1,0.8
56,1,1,0.6
57,1,1,0.6
58,1,1,1
59,1,1,1
60,1,1,0.8
61,1,1,0.8
62,1,1,0.8
63,1,1,0.6
64,1,1,1
65,1,1,1
66,1,1,1
67,1,1,0.8
68,1,1,0.8
69,1,1,0.8
70,1,1,1
71,1,1,0.8
72,1,1,1
73,1,1,1
74,1,1,0.8
75,1,1,0.8
76,1,1,1
77,1,1,1
78,1,1,0.6
79,1,1,0.8
80,1,1,0.8
81,1,1,0.6
82,1,1,0.6
83,1,1,0.8
84,1,1,1
85,1,1,0.8
86,1,1,1
87,1,1,0.6
88,1,1,0.8
89,1,1,1
90,1,1,0.8
91,1,1,1
92,1,1,0.8
93,1,1,1
94,1,1,1
95,1,1,0.8
96,1,1,0.8
97,1,1,1
98,1,1,1
99,1,1,0.8
100,1,1,1
101,1,1,0.8
102,1,1,1
103,1,1,1
104,1,1,0.6
105,1,1,1
106,1,1,1
107,1,1,0.8
108,1,1,1
109,1,1,0.8
110,1,1,0.8
111,1,1,0.6
112,1,1,0.8
113,1,1,0.8
114,1,1,1
115,1,1,0.6
116,1,1,0.8
117,1,1,1
118,1,1,1
119,1,1,1
120,1,1,1
121,1,1,1
122,1,1,1
123,1,1,1
124,1,1,1
125,1,1,0.8
126,1,1,1
127,1,1,1
128,1,1,0.8
129,1,1,1
130,1,1,1
131,1,1,0.8
132,1,1,1
133,1,1,0.8
134,1,1,1
135,1,1,1
136,1,1,0.8
137,1,1,1
138,1,1,1
139,1,1,1
140,1,1,0.6
141,1,1,0.6
142,1,1,0.8
143,1,1,0.6
144,1,1,1
145,1,1,1
146,1,1,1
147,1,1,0.6
148,1,1,1
149,1,1,1
150,1,1,0.8
151,1,1,1
152,1,1,1
153,1,1,0.8
154,1,1,1
155,1,1,0.8
156,1,1,0.8
157,1,1,0.8
158,1,1,1
159,1,1,0.8
160,1,1,1
161,1,1,0.6
